,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
41376,1.68,1.68,"1000
",828,513,0.000
41377,1.68,5.54,"1000
",823,504,0.000
41378,1.69,11.20,"1000
",910,617,1.000
41379,1.72,11.60,"1000
",901,602,1.000
41380,5.01,6.48,"0
",245,245,0.000
41381,3.74,7.08,"1000
",827,517,1.000
41382,2.09,12.10,"1000
",813,504,1.000
41383,7.94,6.76,"0
",245,245,0.000
41384,2.27,3.28,"0
",243,243,0.000
41385,1.85,3.70,"1000
",805,526,0.000
41387,2.21,7.98,"1000
",814,526,0.000
41388,2.14,13.40,"1000
",814,525,0.000
41389,1.80,13.30,"1000
",800,534,
41390,1.95,15.30,"1000
",819,501,1.000
41391,1.83,17.20,"1000
",822,501,1.000
41392,1.86,21.40,"1000
",821,502,1.000
41393,1.67,14.50,"1000
",1005,718,1.000
41394,2.02,13.80,"1000
",1000,723,1.000
41396,1.86,10.40,"1000
",1000,721,1.000
41397,1.76,7.04,"1000
",1011,715,1.000
41398,1.75,10.90,"500
",818,461,1.000
41399,1.84,7.85,"500
",828,466,1.000
41400,1.71,6.50,"500
",816,458,1.000
41401,1.71,4.92,"500
",828,468,1.000
41402,1.70,4.55,"500
",1213,484,0.000
41403,1.70,5.15,"500
",1212,501,0.000
41404,1.71,5.87,"500
",1210,576,1.000
41405,1.70,5.86,"500
",820,574,1.000
41406,1.69,5.86,"0
",1001,704,1.000
41407,1.68,5.89,"0
",1014,717,1.000
41408,1.69,,"0
",1005,712,1.000
41409,1.69,6.34,"0
",1005,713,1.000
41410,1.70,6.48,"0
",1008,718,1.000
41411,1.71,6.87,"0
",1006,713,1.000
41412,1.68,6.99,"0
",1006,713,1.000
41413,1.69,7.43,"0
",1017,700,1.000
41414,1.71,7.81,"0
",1014,721,1.000
41415,1.69,7.67,"0
",1005,713,1.000
41416,1.70,8.82,"0
",234,234,0.000
41417,1.71,8.20,"0
",1015,722,1.000
41418,1.68,7.99,"0
",1006,712,1.000
41419,1.68,8.01,"0
",1005,710,1.000
41420,1.69,7.88,"0
",1019,726,1.000
41421,1.68,7.67,"0
",1003,709,1.000
41423,1.71,8.85,"0
",237,237,
41425,1.39,2.55,"0
",251,251,0.000
41426,1.43,2.77,"0
",248,248,0.000
41427,1.43,2.76,"0
",254,254,0.000
41428,1.43,2.71,"0
",236,236,0.000
41429,1.38,2.63,"0
",257,257,0.000
41430,1.37,2.65,"0
",259,259,0.000
41431,1.36,3.56,"1000
",815,527,0.000
41432,1.36,4.78,"1000
",801,516,1.000
41433,3.35,9.06,"1000
",823,510,0.000
41434,1.95,11.50,"1000
",827,514,0.000
41435,1.77,13.10,"1000
",806,526,0.000
41436,1.78,15.20,"1000
",814,533,1.000
41437,1.52,20.00,"1000
",805,524,0.000
41438,1.14,17.90,"1000
",824,510,1.000
41439,1.12,18.80,"1000
",828,513,0.000
41440,1.11,19.40,"1000
",243,243,0.000
41441,1.10,21.00,"1000
",251,251,1.000
41442,1.07,1.07,"1000
",817,504,0.000
41443,1.06,1.06,"1000
",814,525,0.000
41444,1.06,15.30,"1000
",815,531,0.000
41445,1.05,15.30,"1000
",802,523,0.000
41446,1.02,14.70,"1000
",816,528,0.000
41448,1.00,14.20,"1000
",814,526,0.000
41450,1.52,15.70,"1000
",816,526,1.000
41452,1.05,16.40,"1000
",809,526,0.000
41454,1.62,6.01,"1000
",810,527,0.000
41455,1.50,7.82,"1000
",806,526,1.000
41456,1.39,9.18,"1000
",811,511,1.000
41457,1.10,8.30,"1000
",819,515,1.000
41458,0.96,4.53,"0
",228,228,0.000
41459,0.95,7.56,"1000
",825,524,1.000
41460,0.91,7.55,"1000
",814,514,0.000
41461,0.85,6.76,"1000
",816,505,0.000
41462,0.85,6.69,"1000
",801,523,0.000
41463,1.26,7.28,"1000
",829,519,1.000
41464,1.00,0.99,"1000
",813,500,0.000
41465,0.95,6.79,"1000
",801,525,1.000
41466,0.90,6.84,"1000
",816,509,1.000
41467,0.89,7.21,"1000
",810,527,1.000
41468,0.87,7.39,"1000
",818,507,1.000
41469,0.87,7.80,"1000
",822,509,1.000
41470,0.85,7.81,"1000
",827,517,1.000
41471,0.86,7.99,"1000
",814,531,1.000
41472,0.85,6.09,"1000
",815,531,1.000
41473,0.85,5.89,"1000
",811,526,1.000
41474,0.85,5.58,"1000
",816,530,1.000
41475,0.84,5.04,"1000
",807,527,1.000
41476,0.84,0.84,"1000
",824,515,0.000
41477,9.68,7.03,"0
",244,244,0.000
41478,3.48,4.14,"0
",243,243,0.000
41479,1.73,2.68,"0
",233,233,0.000
41480,1.56,2.63,"0
",228,228,0.000
41481,1.46,2.65,"0
",250,250,0.000
41482,1.24,2.33,"0
",258,258,0.000
41483,1.15,2.19,"0
",255,255,0.000
41484,1.13,2.22,"0
",260,260,0.000
41485,1.10,2.15,"0
",255,255,0.000
41486,1.06,2.05,"0
",238,238,0.000
41487,1.02,1.97,"0
",259,259,0.000
41488,1.00,1.92,"0
",231,231,0.000
41489,0.99,1.93,"0
",257,257,0.000
41490,3.67,3.86,"1000
",821,504,0.000
41491,1.12,2.73,"0
",263,263,0.000
41492,1.06,4.88,"1000
",800,516,0.000
41493,1.02,7.58,"1000
",924,522,0.000
41494,1.59,9.94,"1000
",816,503,0.000
41495,1.38,7.65,"1000
",800,523,0.000
41496,1.74,5.33,"1000
",820,519,0.000
41497,0.95,6.52,"1000
",831,520,1.000
41498,0.89,14.60,"1000
",822,510,1.000
41499,0.88,16.80,"1000
",803,521,1.000
41500,0.88,18.80,"1000
",817,504,1.000
41501,0.85,12.30,"1000
",803,521,1.000
41502,0.85,0.85,"1000
",824,507,0.000
41503,0.85,12.90,"1000
",814,525,1.000
41504,0.85,12.70,"0
",231,231,0.000
41505,0.99,7.32,"1000
",827,510,1.000
41506,0.80,20.60,"1000
",823,516,1.000
41507,0.79,29.20,"2000
",690,420,0.000
41508,0.79,20.60,"2000
",694,429,0.000
